project,scpca_sample_id,annotation_column,original_annotation,broad_class,cell_count,cell_fraction
SCPCP000022,SCPCS000658,consensus_celltype_annotation,mature alpha-beta T cell,TNK,2,0.004484304932735426
SCPCP000022,SCPCS000658,consensus_celltype_annotation,erythroid lineage cell,Erythroid,2,0.004484304932735426
SCPCP000022,SCPCS000658,consensus_celltype_annotation,mature NK T cell,TNK,1,0.002242152466367713
SCPCP000022,SCPCS000658,consensus_celltype_annotation,natural killer cell,TNK,1,0.002242152466367713
SCPCP000022,SCPCS000658,consensus_celltype_annotation,mature T cell,TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,B cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,monocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,mature B cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,naive B cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,hematopoietic stem cell,Progenitor,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,macrophage,Myeloid,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,lymphocyte of B lineage,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,"B cell, CD19-positive",B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,hematopoietic precursor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,hematopoietic oligopotent progenitor cell,Progenitor,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,granulocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,fibroblast,Blast_Malignant,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,dendritic cell,Myeloid,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,common lymphoid progenitor,Progenitor,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,antibody secreting cell,B,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,"CD8-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,"CD4-positive, alpha-beta memory T cell",TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,0,0.0
SCPCP000022,SCPCS000658,consensus_celltype_annotation,regulatory T cell,TNK,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,Unknown,Unknown,773,0.9347037484885127
SCPCP000022,SCPCS000659,consensus_celltype_annotation,"CD8-positive, alpha-beta T cell",TNK,18,0.02176541717049577
SCPCP000022,SCPCS000659,consensus_celltype_annotation,"CD4-positive, alpha-beta T cell",TNK,13,0.015719467956469165
SCPCP000022,SCPCS000659,consensus_celltype_annotation,natural killer cell,TNK,8,0.009673518742442563
SCPCP000022,SCPCS000659,consensus_celltype_annotation,erythroid lineage cell,Erythroid,8,0.009673518742442563
SCPCP000022,SCPCS000659,consensus_celltype_annotation,mature T cell,TNK,3,0.0036275695284159614
SCPCP000022,SCPCS000659,consensus_celltype_annotation,regulatory T cell,TNK,1,0.0012091898428053204
SCPCP000022,SCPCS000659,consensus_celltype_annotation,monocyte,Myeloid,1,0.0012091898428053204
SCPCP000022,SCPCS000659,consensus_celltype_annotation,T cell,TNK,1,0.0012091898428053204
SCPCP000022,SCPCS000659,consensus_celltype_annotation,mature B cell,B,1,0.0012091898428053204
SCPCP000022,SCPCS000659,consensus_celltype_annotation,mature alpha-beta T cell,TNK,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,megakaryocyte,Other,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,memory B cell,B,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,memory T cell,TNK,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,naive B cell,B,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,mononuclear phagocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,myeloid leukocyte,Myeloid,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,plasma cell,B,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,plasmacytoid dendritic cell,B,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,platelet,Stromal,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,mature NK T cell,TNK,0,0.0
SCPCP000022,SCPCS000659,consensus_celltype_annotation,B cell,B,0,0.0
