,logit_frac_unknown,frac_T_logratio,frac_B_logratio,frac_myeloid_logratio,frac_NK_logratio
SCPCS000360,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5484897519219467
SCPCS000361,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4118561129255297
SCPCS000362,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-0.047359588205476075
SCPCS000363,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5328280196185866
SCPCS000364,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.502723504542227
SCPCS000365,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.15533427111537568
SCPCS000366,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5262034309196599
SCPCS000367,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000369,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000370,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.2622465398753747
SCPCS000371,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.13682094361445457
SCPCS000372,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3722018060680296
SCPCS000373,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.021532268595876484
SCPCS000374,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4153410888386537
SCPCS000375,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5144144682574467
SCPCS000376,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3754579960783041
SCPCS000377,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5368779650804797
SCPCS000378,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4890081418024527
SCPCS000379,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000380,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3732078934631519
SCPCS000381,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.28216463521747015
SCPCS000382,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.19145898763538405
SCPCS000383,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-0.03953288718798315
SCPCS000384,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-0.04753787471432703
SCPCS000385,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4439552760133981
SCPCS000386,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.6016918818346663
SCPCS000387,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.7011694161025601
SCPCS000388,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.599827672183511
SCPCS000389,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5385617194645864
SCPCS000390,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.8871009001430944
SCPCS000391,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000392,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4865113381298985
