scenario,model,replicate,parameter,true_value,posterior_mean,hdi_low,hdi_high,error,squared_error,covered_95,divergences
null,M_E,4,beta_mu_B_z,0.0,-0.03609345088972142,-0.10700666439982807,0.043445265031313914,-0.03609345088972142,0.001302737197128732,1,0
null,M_E,4,beta_mu_Myeloid_z,0.0,-0.004810535514353623,-0.09931764303952302,0.08714022997460286,-0.004810535514353623,2.314125193485748e-05,1,0
null,M_E,4,beta_theta_B_z,0.0,-0.08253464201951723,-0.2877488394915828,0.11066062999392737,-0.08253464201951723,0.006811967133289859,1,0
null,M_E,4,beta_theta_Myeloid_z,0.0,-0.1933756442009501,-0.48618182479723265,0.06519704664757929,-0.1933756442009501,0.037394139770132444,1,0
moderate_directional,M_0,0,mu_0,0.25,0.2849606107874748,0.16894243199687972,0.39926486815555945,0.03496061078747481,0.0012222443066333,1,0
moderate_directional,M_0,0,theta_0,0.0,-0.0019604019491060746,-0.3387202346654709,0.28171086864529954,-0.0019604019491060746,3.843175802058897e-06,1,0
moderate_directional,M_0,0,sigma_proc,0.3,0.27842043617035594,0.2537905608957427,0.306934308457673,-0.021579563829644044,0.0004656775750776815,1,0
moderate_directional,M_0,1,mu_0,0.25,0.2558746427670656,0.07885331911414936,0.3878263688874246,0.005874642767065619,3.451142764063639e-05,1,0
moderate_directional,M_0,1,theta_0,0.0,-0.11842797953381509,-0.496829290789083,0.24386843634657862,-0.11842797953381509,0.014025186336461727,1,0
moderate_directional,M_0,1,sigma_proc,0.3,0.29686504278029835,0.2702494316998656,0.32651523693426077,-0.0031349572197016395,9.827956769359434e-06,1,0
moderate_directional,M_0,2,mu_0,0.25,0.2135661041152793,0.08308867485263208,0.34533117523899864,-0.03643389588472071,0.0013274287693386686,1,0
moderate_directional,M_0,2,theta_0,0.0,0.008083605845879823,-0.30445595682110954,0.3286341989076535,0.008083605845879823,6.534468347154245e-05,1,0
moderate_directional,M_0,2,sigma_proc,0.3,0.2975491567392087,0.2650343007293374,0.32693316980935816,-0.0024508432607913133,6.006632688966197e-06,1,0
moderate_directional,M_0,3,mu_0,0.25,0.13418771101847374,-0.08115518261936609,0.32569108547979225,-0.11581228898152626,0.013412486279140549,1,0
moderate_directional,M_0,3,theta_0,0.0,-0.2987126210303723,-0.706183716377113,0.0775877655387898,-0.2987126210303723,0.08922922996283483,1,0
moderate_directional,M_0,3,sigma_proc,0.3,0.3005110313897741,0.2730929135021305,0.33131046140577397,0.000511031389774097,2.6115308133444507e-07,1,0
moderate_directional,M_0,4,mu_0,0.25,0.254573202840618,0.09994307269684863,0.40690566694901686,0.004573202840618018,2.091418422143671e-05,1,0
moderate_directional,M_0,4,theta_0,0.0,-0.08130202959922847,-0.42201674103561937,0.26557545675393873,-0.08130202959922847,0.006610020016953822,1,0
moderate_directional,M_0,4,sigma_proc,0.3,0.2979573604859826,0.2681664659256987,0.3252967475299704,-0.002042639514017397,4.172376184225228e-06,1,0
moderate_directional,M_E,0,mu_0,0.25,0.17990297801740052,0.01927686178083163,0.3359336515858433,-0.07009702198259948,0.004913592490829035,1,0
moderate_directional,M_E,0,theta_0,0.0,-0.05077831903865268,-0.3879834602425892,0.2535043110460293,-0.05077831903865268,0.002578437684391197,1,0
